Stage 1:
X[ 0]: Real = 0x00016400, Imag = 0x00000000
X[ 1]: Real = 0x0001D200, Imag = 0x00000000
X[ 2]: Real = 0x0001F000, Imag = 0x00000000
X[ 3]: Real = 0x0001BA00, Imag = 0x00000000
X[ 4]: Real = 0x00013700, Imag = 0x00000000
X[ 5]: Real = 0x00007E00, Imag = 0x00000000
X[ 6]: Real = 0xFFFFB100, Imag = 0x00000000
X[ 7]: Real = 0xFFFEF100, Imag = 0x00000000
X[ 8]: Real = 0xFFFE6000, Imag = 0x00000000
X[ 9]: Real = 0xFFFE1500, Imag = 0x00000000
X[10]: Real = 0xFFFE1F00, Imag = 0x00000000
X[11]: Real = 0xFFFE7C00, Imag = 0x00000000
X[12]: Real = 0xFFFF1C00, Imag = 0x00000000
X[13]: Real = 0xFFFFE200, Imag = 0x00000000
X[14]: Real = 0x0000AD00, Imag = 0x00000000
X[15]: Real = 0x00015B00, Imag = 0x00000000
X[16]: Real = 0xFFFFBA00, Imag = 0x00000000
X[17]: Real = 0xFFFFDEA7, Imag = 0x000006A2
X[18]: Real = 0x0000058B, Imag = 0xFFFFFDB4
X[19]: Real = 0x0000263F, Imag = 0xFFFFE671
X[20]: Real = 0x00003672, Imag = 0xFFFFC98D
X[21]: Real = 0x00003555, Imag = 0xFFFFB02D
X[22]: Real = 0x0000251E, Imag = 0xFFFFA662
X[23]: Real = 0x00001031, Imag = 0xFFFFAE98
X[24]: Real = 0x00000000, Imag = 0xFFFFCA00
X[25]: Real = 0xFFFFFD12, Imag = 0xFFFFF149
X[26]: Real = 0x00000991, Imag = 0x00001718
X[27]: Real = 0x00002272, Imag = 0x0000338D
X[28]: Real = 0x00003E39, Imag = 0x00003E39
X[29]: Real = 0x0000517B, Imag = 0x00003672
X[30]: Real = 0x000055EB, Imag = 0x00002396
X[31]: Real = 0x000045A2, Imag = 0x00000dd9

Stage 2:
X[ 0]: Real = 0xFFFFC400, Imag = 0x00000000
X[ 1]: Real = 0xFFFFE700, Imag = 0x00000000
X[ 2]: Real = 0x00000F00, Imag = 0x00000000
X[ 3]: Real = 0x00003600, Imag = 0x00000000
X[ 4]: Real = 0x00005300, Imag = 0x00000000
X[ 5]: Real = 0x00006000, Imag = 0x00000000
X[ 6]: Real = 0x00005E00, Imag = 0x00000000
X[ 7]: Real = 0x00004C00, Imag = 0x00000000
X[ 8]: Real = 0x00030400, Imag = 0x00000000
X[ 9]: Real = 0x00037425, Imag = 0xFFFE91C7
X[10]: Real = 0x0002B2D4, Imag = 0xFFFD4B2D
X[11]: Real = 0x00013D9E, Imag = 0xFFFD012F
X[12]: Real = 0x00000000, Imag = 0xFFFDE500
X[13]: Real = 0xFFFFC44D, Imag = 0xFFFF6FE0
X[14]: Real = 0x0000B22F, Imag = 0x0000B22F
X[15]: Real = 0x00023AF4, Imag = 0x0000EC7E
X[16]: Real = 0xFFFFBA00, Imag = 0xFFFFCA00
X[17]: Real = 0xFFFFDBB9, Imag = 0xFFFFF7EB
X[18]: Real = 0x00000F1C, Imag = 0x000014CC
X[19]: Real = 0x000048B1, Imag = 0x000019FE
X[20]: Real = 0x000074AB, Imag = 0x000007C6
X[21]: Real = 0x000086D0, Imag = 0xFFFFE69F
X[22]: Real = 0x00007B09, Imag = 0xFFFFC9F8
